year,state_abbr,state,county,fips,category,measure_id,measure,short_question_text,prevalence,lower_ci,upper_ci,total_population,adult_population,relative_ci_width
2022,OH,Ohio,Ashtabula,39007,Health Outcomes,OBESITY,Obesity among adults,Obesity,43.1,37.4,48.8,97014,76002,0.2645011600928074
2022,OH,Ohio,Athens,39009,Prevention,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Health Insurance,7.6,6.7,8.5,58979,50122,0.23684210526315788
2021,OH,Ohio,Athens,39009,Health Outcomes,BPHIGH,High blood pressure among adults,High Blood Pressure,34.8,31.3,38.1,58979,50122,0.19540229885057475
2022,OH,Ohio,Athens,39009,Prevention,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Annual Checkup,77.2,74,80.3,58979,50122,0.08160621761658027
2022,OH,Ohio,Athens,39009,Health Risk Behaviors,CSMOKING,Current cigarette smoking among adults,Current Cigarette Smoking,17.7,15.8,19.8,58979,50122,0.22598870056497175
2022,OH,Ohio,Athens,39009,Health Outcomes,DEPRESSION,Depression among adults,Depression,28.6,25.4,32,58979,50122,0.2307692307692308
2022,OH,Ohio,Athens,39009,Health Outcomes,DIABETES,Diagnosed diabetes among adults,Diabetes,11.7,10.4,13.2,58979,50122,0.23931623931623924
2022,OH,Ohio,Athens,39009,Health-Related Social Needs,FOODINSECU,Food insecurity in the past 12 months among adults,Food Insecurity,12.9,11.5,14.4,58979,50122,0.2248062015503876
2022,OH,Ohio,Athens,39009,Health-Related Social Needs,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Transportation Barriers,8.5,7.7,9.3,58979,50122,0.1882352941176471
2022,OH,Ohio,Athens,39009,Health Risk Behaviors,LPA,No leisure-time physical activity among adults,Physical Inactivity,23.6,20.7,26.7,58979,50122,0.2542372881355932
2022,OH,Ohio,Athens,39009,Prevention,MAMMOUSE,Mammography use among women aged 50-74 years,Mammography,73.7,67,79.6,58979,50122,0.17096336499321566
2022,OH,Ohio,Athens,39009,Health Status,MHLTH,Frequent mental distress among adults,Frequent Mental Distress,19.5,17.8,21.3,58979,50122,0.1794871794871795
2022,OH,Ohio,Athens,39009,Health Outcomes,OBESITY,Obesity among adults,Obesity,38.3,33.5,43.3,58979,50122,0.25587467362924277
