fips,county,state_abbr,year_access2,year_bphigh,year_checkup,year_csmoking,year_depression,year_diabetes,year_foodinsecu,year_lacktrpt,year_lpa,year_mammouse,year_mhlth,year_obesity,prevalence_access2,prevalence_bphigh,prevalence_checkup,prevalence_csmoking,prevalence_depression,prevalence_diabetes,prevalence_foodinsecu,prevalence_lacktrpt,prevalence_lpa,prevalence_mammouse,prevalence_mhlth,prevalence_obesity,lower_ci_access2,lower_ci_bphigh,lower_ci_checkup,lower_ci_csmoking,lower_ci_depression,lower_ci_diabetes,lower_ci_foodinsecu,lower_ci_lacktrpt,lower_ci_lpa,lower_ci_mammouse,lower_ci_mhlth,lower_ci_obesity,upper_ci_access2,upper_ci_bphigh,upper_ci_checkup,upper_ci_csmoking,upper_ci_depression,upper_ci_diabetes,upper_ci_foodinsecu,upper_ci_lacktrpt,upper_ci_lpa,upper_ci_mammouse,upper_ci_mhlth,upper_ci_obesity
39053,Gallia,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.2,33.9,76.7,21.9,26.8,12.7,13.8,9.2,30.9,71.1,21.1,40.1,7.2,30.3,73.1,19.6,23.4,11.1,12.3,8.3,27.1,63.3,19.2,34,9.2,37.9,79.9,24.2,30.4,14.2,15.4,10.1,35,77.7,23,46.3
39055,Geauga,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,6.4,29,74.3,17.8,25.4,9.9,7.1,5.6,20.7,79.2,18.4,36.3,5.6,25.2,70.4,15.8,21.9,8.6,6.2,5,17.4,72.3,16.7,30,7.2,32.7,78,20,29.2,11.5,8,6.2,24.3,84.8,20.2,42.9
39057,Greene,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,6.1,30.2,78.7,15.2,26.6,10.7,9.5,6.8,22,76.7,18.7,39.2,5.4,26.8,75.4,13.4,23.3,9.4,8.5,6.1,19,70.2,16.9,34,6.9,33.9,82,17.2,30.3,12.2,10.7,7.5,25.5,82.8,20.6,45.1
39059,Guernsey,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,11.2,35.2,77.2,24.4,30.5,12.3,15.6,10.1,30.3,74.4,22.8,41.5,9.9,31.3,73.5,21.7,26.6,10.7,13.9,9.2,26.2,66.9,20.7,35.2,12.5,39,80.5,27,34.3,13.9,17.4,11.2,34.4,80.9,24.8,47.6
39061,Hamilton,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.8,34,77.7,18.4,26.6,12.9,15.3,9.9,26.5,78.6,20.1,38.6,6.9,31.2,74.8,16.5,23.8,11.5,13.7,9,23.6,73,18.4,34.5,8.8,36.8,80.4,20.4,29.5,14.4,17,10.9,29.5,83.4,21.9,42.8
39063,Hancock,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.2,30.9,76,16.7,26.5,10.9,11.1,7.6,23.2,76.6,18.5,37,6.4,27.7,72.5,15,23.3,9.6,9.9,6.9,20.2,70.1,16.8,31.9,8.1,34.4,79.5,18.8,30.3,12.5,12.5,8.4,26.7,82.7,20.4,42.8
39065,Hardin,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,8.4,33.6,74,26.4,29.6,12.9,12.5,8.1,31.6,72.1,23.5,45.3,7.5,29.9,70,23.7,25.8,11.3,11.1,7.3,27.3,63.9,21.5,38.4,9.5,37.7,77.8,29.4,33.8,14.6,14.1,9,36.3,79.3,25.7,52.5
39067,Harrison,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,9.4,34.4,75.5,21.4,27.7,11.6,15.1,9.6,28,73.6,22,41.4,8.3,30.6,71.4,18.9,23.8,10.1,13.4,8.7,23.8,65.9,19.9,33.9,10.5,38.6,79.3,24,31.8,13.2,17,10.6,32.6,80.8,24.2,49.1
39069,Henry,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,7.2,32.1,76.5,20.1,27.3,11.3,12.6,8.5,27.9,77.8,21,42.8,6.5,28.1,72.7,17.9,23.6,9.9,11.2,7.7,23.8,70.8,19.1,35.4,8.1,36.1,80.2,22.7,31.3,13,14.1,9.4,32.3,84.2,23.1,50.6
39071,Highland,OH,2022,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,12.1,35.5,74.7,24.6,30.1,12.4,17.7,11,31.7,75,23,43.1,10.9,31.7,71.4,22.4,26.9,11,15.8,10,28.3,68.9,21.2,37.9,13.3,39.4,77.7,26.8,33.4,13.8,19.7,12.1,35.3,80.4,24.8,48.3
