fips,state,county,population_2020,rucc_2023,rucc_description,metro_status,rurality_3_level,rurality_ordinal
39157,OH,Tuscarawas,93263,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39159,OH,Union,62784,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39161,OH,Van Wert,28931,6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39163,OH,Vinton,12800,8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39165,OH,Warren,242337,1,Metro - Counties in metro areas of 1 million population or more,Metropolitan,Metropolitan,1
39167,OH,Washington,59771,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39169,OH,Wayne,116894,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Nonmetropolitan,Nonmetropolitan adjacent to metro,2
39171,OH,Williams,37102,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",Nonmetropolitan,Nonmetropolitan nonadjacent,3
39173,OH,Wood,132248,2,"Metro - Counties in metro areas of 250,000 to 1 million population",Metropolitan,Metropolitan,1
39175,OH,Wyandot,21900,7,"Nonmetro - Urban population of 5,000 to 20,000, not adjacent to a metro area",Nonmetropolitan,Nonmetropolitan nonadjacent,3
